,map_name,action_set,policy_iteration_mean_time,value_iteration_mean_time,policy_iteration_mean_iter,value_iteration_mean_iter
0,small,default,0.3627958297729492,0.24264922142028808,2.8,7.0
1,small,slippery,0.2581963062286377,0.27318477630615234,3.2,134.0
2,medium,default,0.9145174026489258,0.7903026580810547,4.6,15.0
3,medium,slippery,1.150383472442627,0.9813907623291016,4.0,135.0
4,large,default,5.081935071945191,4.383414554595947,4.6,31.0
5,large,slippery,5.320339822769165,4.909686946868897,4.3,140.0
6,huge,default,59.410128593444824,38.164273262023926,9.4,66.0
7,huge,slippery,51.91640067100525,40.24294185638428,5.6,145.0
8,colossal,default,2356.4767645345678,155.8645686545438,137,178.0
9,colossal,slippery,4325.5853655466542,89.358786435876421,227,298.0